Mg-27,9.462 m,1,3.0E-10,0.5,1.4E-10,6.7E-11,3.9E-11,2.7E-11,2.1E-11
Al-28,2.2414 m,0.02,1.5E-10,0.01,6.5E-11,3.2E-11,1.8E-11,1.3E-11,9.9E-12
Al-29,6.56 m,0.02,3.1E-10,0.01,1.4E-10,6.8E-11,3.9E-11,2.7E-11,2.1E-11
P-30,2.498 m,1,1.8E-10,0.8,8.1E-11,4.0E-11,2.3E-11,1.6E-11,1.2E-11
S-37_inorg,5.05 m,1,2.1E-10,1,9.8E-11,4.9E-11,2.8E-11,2.0E-11,1.5E-11
S-37_org,5.05 m,1,2.1E-10,1,9.8E-11,4.9E-11,2.8E-11,2.0E-11,1.5E-11
S-38_inorg,170.3 m,1,3.8E-09,1,1.9E-09,9.9E-10,6.2E-10,4.3E-10,3.4E-10
S-38_org,170.3 m,1,3.6E-09,1,1.7E-09,8.6E-10,5.0E-10,3.3E-10,2.7E-10
Cl-34m,32.00 m,1,1.5E-09,1,6.7E-10,3.3E-10,1.9E-10,1.3E-10,1.0E-10
Cl-40,1.35 m,1,1.2E-10,1,5.5E-11,2.7E-11,1.6E-11,1.1E-11,8.5E-12
K-38,7.636 m,1,4.6E-10,1,2.1E-10,1.0E-10,6.0E-11,4.2E-11,3.3E-11
Ca-49,8.718 m,0.6,5.4E-10,0.3,2.5E-10,1.3E-10,7.3E-11,4.9E-11,3.9E-11
Ti-51,5.76 m,0.02,2.3E-10,0.01,1.0E-10,5.1E-11,2.9E-11,2.0E-11,1.5E-11
V-50,1.5E+17 y,0.02,1.7E-08,0.01,9.0E-09,6.7E-09,5.4E-09,4.6E-09,4.2E-09
V-52,3.743 m,0.02,2.0E-10,0.01,9.1E-11,4.5E-11,2.6E-11,1.8E-11,1.4E-11
V-53,1.61 m,0.02,8.5E-11,0.01,3.8E-11,1.9E-11,1.1E-11,7.3E-12,5.7E-12
Cr-55,3.497 m, 0.2, 1.9e-10, 0.1, 8.2E-11,3.9E-11,2.2E-11,1.5E-11,1.2E-11
Cr-55,3.497 m, 0.02, 1.9e-10, 0.01, 8.2E-11,3.9E-11,2.2E-11,1.5E-11,1.2E-11
