Z,Element,Nuclide,Half-life,Decay mode,Alpha,Electron,Photon,Total,Daughter Products
47,Silver,Ag-112,3.130 h,B-,–,1.354,0.6905,2.0445,{'Cd-112': 1.0}
47,Silver,Ag-113,5.37 h,B-,–,0.7614,0.0719,0.8333,"{'Cd-113': 0.98261, 'Cd-113m': 0.017388}"
47,Silver,Ag-113m,68.7 s,ITB-,–,0.2278,0.2134,0.4412,"{'Ag-113': 0.64, 'Cd-113': 0.36}"
47,Silver,Ag-114,4.6 s,B-,–,2.1091,0.2589,2.3681,{'Cd-114': 1.0}
47,Silver,Ag-115,20.0 m,B-,–,1.0928,0.4831,1.576,"{'Cd-115': 0.9421, 'Cd-115m': 0.05787}"
47,Silver,Ag-116,2.68 m,B-,–,1.754,2.1473,3.9014,{'Cd-116': 1.0}
47,Silver,Ag-117,73.6 s,B-,–,1.2813,1.3028,2.5841,"{'Cd-117': 0.84703, 'Cd-117m': 0.15297}"
48,Cadmium,Cd-101,1.36 m,ECB+,–,1.0685,2.4853,3.5538,{'Ag-101': 1.0}
48,Cadmium,Cd-102,5.5 m,ECB+,–,0.0756,0.838,0.9136,"{'Ag-102m': 0.94624, 'Ag-102': 0.053762}"
48,Cadmium,Cd-103,7.3 m,ECB+,–,0.3636,2.0891,2.4527,{'Ag-103': 1.0}
48,Cadmium,Cd-104,57.7 m,EC,–,0.0306,0.2513,0.2819,{'Ag-104m': 1.0}
48,Cadmium,Cd-105,55.5 m,ECB+,–,0.2167,1.2995,1.5161,"{'Ag-105m': 0.82963, 'Ag-105': 0.17037}"
48,Cadmium,Cd-107,6.50 h,ECB+,–,0.087,0.0337,0.1207,{'Ag-107': 1.0}
48,Cadmium,Cd-109,461.4 d,EC,–,0.0827,0.0265,0.1092,{'Ag-109': 1.0}
48,Cadmium,Cd-111m,48.50 m,IT,–,0.1066,0.2843,0.3908,{'Cd-111': 1.0}
48,Cadmium,Cd-113,7.7E+15 y,B-,–,0.0926,–,0.0926,{'In-113': 1.0}
48,Cadmium,Cd-113m,14.1 y,B-IT,–,0.1847,<E-04,0.1848,"{'Cd-113': 0.0014, 'In-113': 0.9986}"
48,Cadmium,Cd-115,53.46 h,B-,–,0.3182,0.1926,0.5107,{'In-115m': 1.0}
48,Cadmium,Cd-115m,44.6 d,B-,–,0.6045,0.0329,0.6374,"{'In-115': 0.99989, 'In-115m': 0.00010578}"
48,Cadmium,Cd-117,2.49 h,B-,–,0.4379,1.0796,1.5175,"{'In-117m': 0.91507, 'In-117': 0.084933}"
48,Cadmium,Cd-117m,3.36 h,B-,–,0.2279,2.0437,2.2716,"{'In-117': 0.99002, 'In-117m': 0.0099831}"
48,Cadmium,Cd-118,50.3 m,B-,–,0.1614,–,0.1614,{'In-118': 1.0}
48,Cadmium,Cd-119,2.69 m,B-,–,0.8186,1.638,2.4566,"{'In-119m': 0.90091, 'In-119': 0.099092}"
48,Cadmium,Cd-119m,2.20 m,B-,–,0.6898,2.3021,2.9919,"{'In-119': 0.99787, 'In-119m': 0.0021328}"
49,Indium,In-103,60 s,ECB+,–,1.5404,2.7528,4.2932,{'Cd-103': 1.0}
49,Indium,In-105,5.07 m,ECB+,–,1.0358,1.9307,2.9666,{'Cd-105': 1.0}
49,Indium,In-106m,5.2 m,ECB+,–,1.5889,2.8243,4.4132,{'Cd-106': 1.0}
49,Indium,In-106,6.2 m,ECB+,–,1.0844,3.5541,4.6385,{'Cd-106': 1.0}
49,Indium,In-107,32.4 m,ECB+,–,0.3263,1.5307,1.857,{'Cd-107': 1.0}
49,Indium,In-108m,39.6 m,ECB+,–,0.7021,2.7655,3.4675,{'Cd-108': 1.0}
49,Indium,In-108,58.0 m,ECB+,–,0.162,3.9164,4.0784,{'Cd-108': 1.0}
49,Indium,In-109m,1.34 m,IT,–,0.0416,0.6085,0.6501,{'In-109': 1.0}
49,Indium,In-109,4.2 h,ECB+,–,0.0334,0.6441,0.6775,{'Cd-109': 1.0}
49,Indium,In-110m,69.1 m,ECB+,–,0.6282,1.5782,2.2065,{'Cd-110': 1.0}
49,Indium,In-110,4.9 h,ECB+,–,0.0122,3.0972,3.1094,{'Cd-110': 1.0}
49,Indium,In-111m,7.7 m,IT,–,0.0675,0.4706,0.538,{'In-111': 1.0}
49,Indium,In-111,2.8047 d,EC,–,0.0348,0.4061,0.4409,"{'Cd-111m': 4.9998e-05, 'Cd-111': 0.99995}"
49,Indium,In-112m,20.56 m,IT,–,0.1217,0.0347,0.1564,{'In-112': 1.0}
49,Indium,In-112,14.97 m,ECB+B-,–,0.2452,0.2675,0.5127,"{'Cd-112': 0.56, 'Sn-112': 0.44}"
49,Indium,In-113m,1.6579 h,IT,–,0.1361,0.2606,0.3967,{'In-113': 1.0}
49,Indium,In-114m,49.51 d,ITEC,–,0.145,0.0804,0.2254,"{'In-114': 0.9675, 'Cd-114': 0.0325}"
49,Indium,In-114,71.9 s,B-ECB+,–,0.774,0.0023,0.7764,"{'Sn-114': 0.995, 'Cd-114': 0.005}"
49,Indium,In-115m,4.486 h,ITB-,–,0.1748,0.1627,0.3376,"{'In-115': 0.95, 'Sn-115': 0.05}"
49,Indium,In-115,4.41E+14 y,B-,–,0.1526,–,0.1526,{'Sn-115': 1.0}
49,Indium,In-116m,54.41 m,B-,–,0.3128,2.4691,2.7819,{'Sn-116': 1.0}
49,Indium,In-117m,116.2 m,B-IT,–,0.4344,0.091,0.5254,"{'In-117': 0.471, 'Sn-117': 0.529}"
49,Indium,In-117,43.2 m,B-,–,0.2673,0.6939,0.9612,"{'Sn-117m': 0.0035321, 'Sn-117': 0.99647}"
49,Indium,In-118m,4.364 m,B-,–,0.6708,2.7765,3.4473,{'Sn-118': 1.0}
49,Indium,In-118,5.0 s,B-,–,1.8792,0.0778,1.957,{'Sn-118': 1.0}
49,Indium,In-119m,18.0 m,B-IT,–,1.0221,0.066,1.0882,"{'In-119': 0.056, 'Sn-119': 0.944}"
49,Indium,In-119,2.4 m,B-,–,0.6148,0.7701,1.3849,"{'Sn-119m': 0.0094773, 'Sn-119': 0.99052}"
49,Indium,In-121m,3.88 m,B-IT,–,1.5288,0.0635,1.5922,"{'Sn-121': 0.988, 'In-121': 0.012}"
49,Indium,In-121,23.1 s,B-,–,0.9869,0.9266,1.9135,"{'Sn-121': 0.8865, 'Sn-121m': 0.1135}"
50,Tin,Sn-106,1.92 m,ECB+,–,0.1279,1.2091,1.337,{'In-106m': 1.0}
50,Tin,Sn-108,10.30 m,ECB+,–,0.0269,0.6847,0.7117,{'In-108m': 1.0}
50,Tin,Sn-109,18.0 m,ECB+,–,0.0571,2.2063,2.2634,"{'In-109': 0.71734, 'In-109m': 0.28266}"
50,Tin,Sn-110,4.11 h,EC,–,0.0152,0.2918,0.307,{'In-110m': 1.0}
50,Tin,Sn-111,35.3 m,ECB+,–,0.1915,0.4903,0.6818,"{'In-111': 0.99793, 'In-111m': 0.0020745}"
50,Tin,Sn-113m,21.4 m,ITEC,–,0.0588,0.0137,0.0725,"{'Sn-113': 0.911, 'In-113': 0.089}"
50,Tin,Sn-113,115.09 d,EC,–,0.0063,0.0237,0.03,"{'In-113m': 0.99998, 'In-113': 2.2352e-05}"
50,Tin,Sn-117m,13.76 d,IT,–,0.1616,0.1581,0.3197,{'Sn-117': 1.0}
50,Tin,Sn-119m,293.1 d,IT,–,0.0781,0.0151,0.0932,{'Sn-119': 1.0}
50,Tin,Sn-121m,43.9 y,ITB-,–,0.0354,0.0052,0.0405,"{'Sn-121': 0.776, 'Sb-121': 0.224}"
50,Tin,Sn-121,27.03 h,B-,–,0.1156,–,0.1156,{'Sb-121': 1.0}
50,Tin,Sn-123m,40.06 m,B-,–,0.4788,0.1407,0.6196,{'Sb-123': 1.0}
50,Tin,Sn-123,129.2 d,B-,–,0.5227,0.0069,0.5296,{'Sb-123': 1.0}
50,Tin,Sn-125m,9.52 m,B-,–,0.807,0.3464,1.1534,{'Sb-125': 1.0}
50,Tin,Sn-125,9.64 d,B-,–,0.8037,0.3346,1.1383,{'Sb-125': 1.0}
50,Tin,Sn-126,2.30E+5 y,B-,–,0.138,0.0569,0.1949,{'Sb-126m': 1.0}
50,Tin,Sn-127m,4.13 m,B-,–,1.114,0.5686,1.6826,{'Sb-127': 1.0}
50,Tin,Sn-127,2.10 h,B-,–,0.5199,1.9075,2.4274,{'Sb-127': 1.0}
50,Tin,Sn-128,59.07 m,B-,–,0.2457,0.6041,0.8498,{'Sb-128m': 1.0}
50,Tin,Sn-129,2.23 m,B-,–,1.2576,1.0081,2.2657,{'Sb-129': 1.0}
50,Tin,Sn-130m,1.7 m,B-,–,1.404,0.8861,2.2901,"{'Sb-130': 0.86005, 'Sb-130m': 0.13995}"
50,Tin,Sn-130,3.72 m,B-,–,0.4612,0.9372,1.3984,{'Sb-130m': 1.0}
51,Antimony,Sb-111,75 s,ECB+,–,1.364,1.4859,2.8499,{'Sn-111': 1.0}
51,Antimony,Sb-113,6.67 m,ECB+,–,0.7203,1.2683,1.9886,"{'Sn-113': 0.77569, 'Sn-113m': 0.22431}"
51,Antimony,Sb-114,3.49 m,ECB+,–,1.2184,2.6893,3.9077,{'Sn-114': 1.0}
51,Antimony,Sb-115,32.1 m,ECB+,–,0.2342,0.8894,1.1236,{'Sn-115': 1.0}
51,Antimony,Sb-116,15.8 m,ECB+,–,0.5138,2.2788,2.7926,{'Sn-116': 1.0}
51,Antimony,Sb-116m,60.3 m,ECB+,–,0.1408,3.1029,3.2437,{'Sn-116': 1.0}
51,Antimony,Sb-117,2.80 h,ECB+,–,0.0298,0.1864,0.2162,{'Sn-117': 1.0}
51,Antimony,Sb-118,3.6 m,ECB+,–,0.873,0.8039,1.6769,{'Sn-118': 1.0}
51,Antimony,Sb-118m,5.00 h,ECB+,–,0.0374,2.613,2.6504,{'Sn-118': 1.0}
51,Antimony,Sb-119,38.19 h,EC,–,0.0258,0.0234,0.0492,{'Sn-119': 1.0}
51,Antimony,Sb-120,15.89 m,ECB+,–,0.3077,0.4521,0.7599,{'Sn-120': 1.0}
51,Antimony,Sb-120m,5.76 d,EC,–,0.0449,2.4663,2.5112,{'Sn-120': 1.0}
51,Antimony,Sb-122,2.7238 d,B-ECB+,–,0.5618,0.4453,1.0072,"{'Te-122': 0.9759, 'Sn-122': 0.0241}"
51,Antimony,Sb-122m,4.191 m,IT,–,0.0937,0.0707,0.1644,{'Sb-122': 1.0}
51,Antimony,Sb-124,60.20 d,B-,–,0.3831,1.8531,2.2362,{'Te-124': 1.0}
51,Antimony,Sb-124m,93 s,ITB-,–,0.1157,0.4401,0.5558,"{'Sb-124': 0.75, 'Te-124': 0.25}"
51,Antimony,Sb-124n,20.2 m,IT,–,0.0256,0.0004,0.026,{'Sb-124m': 1.0}
51,Antimony,Sb-125,2.75856 y,B-,–,0.101,0.4373,0.5383,"{'Te-125m': 0.23136, 'Te-125': 0.76864}"
51,Antimony,Sb-126,12.35 d,B-,–,0.3545,2.7552,3.1097,{'Te-126': 1.0}
51,Antimony,Sb-126m,19.15 m,B-IT,–,0.6322,1.5483,2.1805,"{'Sb-126': 0.14, 'Te-126': 0.86}"
51,Antimony,Sb-127,3.85 d,B-,–,0.316,0.6934,1.0094,"{'Te-127': 0.8232, 'Te-127m': 0.1768}"
51,Antimony,Sb-128,9.01 h,B-,–,0.4999,3.0934,3.5934,{'Te-128': 1.0}
51,Antimony,Sb-128m,10.4 m,B-IT,–,0.958,1.9063,2.8643,"{'Sb-128': 0.036, 'Te-128': 0.964}"
51,Antimony,Sb-129,4.40 h,B-,–,0.3953,1.4601,1.8553,"{'Te-129': 0.77381, 'Te-129m': 0.22619}"
51,Antimony,Sb-130,39.5 m,B-,–,0.7579,3.2724,4.0303,{'Te-130': 1.0}
51,Antimony,Sb-130m,6.3 m,B-,–,1.029,2.7077,3.7367,{'Te-130': 1.0}
51,Antimony,Sb-131,23.03 m,B-,–,0.5867,2.0733,2.6601,"{'Te-131': 0.91793, 'Te-131m': 0.082067}"
51,Antimony,Sb-133,2.5 m,B-,–,0.6785,2.7434,3.4219,"{'Te-133': 0.82662, 'Te-133m': 0.17338}"
52,Tellurium,Te-113,1.7 m,ECB+,–,1.7023,2.2208,3.9231,{'Sb-113': 1.0}
52,Tellurium,Te-114,15.2 m,ECB+,–,0.1551,1.2817,1.4368,{'Sb-114': 1.0}
52,Tellurium,Te-115,5.8 m,ECB+,–,0.8124,2.2449,3.0572,{'Sb-115': 1.0}
52,Tellurium,Te-115m,6.7 m,ECB+,–,0.6939,2.6041,3.298,{'Sb-115': 1.0}
52,Tellurium,Te-116,2.49 h,ECB+,–,0.0618,0.1122,0.174,{'Sb-116': 1.0}
52,Tellurium,Te-117,62 m,ECB+,–,0.2139,1.5492,1.7631,{'Sb-117': 1.0}
52,Tellurium,Te-118,6.00 d,EC,–,0.0061,0.0199,0.026,{'Sb-118': 1.0}
52,Tellurium,Te-119,16.05 h,ECB+,–,0.0143,0.7679,0.7822,{'Sb-119': 1.0}
52,Tellurium,Te-119m,4.70 d,ECB+,–,0.018,1.5059,1.5239,{'Sb-119': 1.0}
52,Tellurium,Te-121,19.16 d,EC,–,0.0098,0.5775,0.5872,{'Sb-121': 1.0}
52,Tellurium,Te-121m,154 d,ITEC,–,0.0817,0.2176,0.2993,"{'Te-121': 0.886, 'Sb-121': 0.114}"
52,Tellurium,Te-123,6.00E+14 y,EC,–,0.0028,0.0004,0.0031,{'Sb-123': 1.0}
52,Tellurium,Te-123m,119.25 d,IT,–,0.099,0.1477,0.2467,{'Te-123': 1.0}
52,Tellurium,Te-125m,57.40 d,IT,–,0.1091,0.036,0.1451,{'Te-125': 1.0}
52,Tellurium,Te-127,9.35 h,B-,–,0.2246,0.0049,0.2294,{'I-127': 1.0}
52,Tellurium,Te-127m,109 d,ITB-,–,0.0824,0.0113,0.0937,"{'Te-127': 0.976, 'I-127': 0.024}"
52,Tellurium,Te-129,69.6 m,B-,–,0.5436,0.0625,0.6061,{'I-129': 1.0}
52,Tellurium,Te-129m,33.6 d,ITB-,–,0.2709,0.0376,0.3085,"{'Te-129': 0.63, 'I-129': 0.37}"
52,Tellurium,Te-131,25.0 m,B-,–,0.7122,0.42,1.1322,{'I-131': 1.0}
52,Tellurium,Te-131m,30 h,B-IT,–,0.187,1.4545,1.6415,"{'I-131': 0.778, 'Te-131': 0.222}"
52,Tellurium,Te-132,3.204 d,B-,–,0.1108,0.2344,0.3453,{'I-132': 1.0}
52,Tellurium,Te-133,12.5 m,B-,–,0.6897,1.2007,1.8904,{'I-133': 1.0}
52,Tellurium,Te-133m,55.4 m,B-IT,–,0.388,1.8597,2.2477,"{'I-133': 0.825, 'Te-133': 0.175}"
52,Tellurium,Te-134,41.8 m,B-,–,0.2266,0.8714,1.098,{'I-134': 1.0}
53,Iodine,I-118,13.7 m,ECB+,–,1.9645,2.0163,3.9809,{'Te-118': 1.0}
53,Iodine,I-118m,8.5 m,ECB+,–,1.1055,3.7513,4.8567,{'Te-118': 1.0}
53,Iodine,I-119,19.1 m,ECB+,–,0.5116,0.911,1.4227,"{'Te-119': 0.99046, 'Te-119m': 0.0095421}"
53,Iodine,I-120,81.6 m,ECB+,–,1.168,2.6611,3.8291,{'Te-120': 1.0}
53,Iodine,I-120m,53 m,ECB+,–,0.907,3.5248,4.4318,{'Te-120': 1.0}
53,Iodine,I-121,2.12 h,ECB+,–,0.0665,0.3995,0.466,"{'Te-121': 0.99714, 'Te-121m': 0.0028631}"
53,Iodine,I-122,3.63 m,ECB+,–,1.1055,0.9619,2.0674,{'Te-122': 1.0}
53,Iodine,I-123,13.27 h,EC,–,0.0282,0.173,0.2012,"{'Te-123': 0.99996, 'Te-123m': 4.442e-05}"
53,Iodine,I-124,4.1760 d,ECB+,–,0.1943,1.1132,1.3075,{'Te-124': 1.0}
53,Iodine,I-125,59.400 d,EC,–,0.0192,0.0428,0.0621,{'Te-125': 1.0}
53,Iodine,I-126,12.93 d,ECB+B-,–,0.1606,0.4354,0.5959,"{'Te-126': 0.527, 'Xe-126': 0.473}"
53,Iodine,I-128,24.99 m,B-ECB+,–,0.7463,0.0676,0.8139,"{'Xe-128': 0.931, 'Te-128': 0.069}"
53,Iodine,I-129,1.57E+7 y,B-,–,0.0651,0.0252,0.0902,{'Xe-129': 1.0}
53,Iodine,I-130,12.36 h,B-,–,0.2786,2.1372,2.4158,{'Xe-130': 1.0}
53,Iodine,I-130m,8.84 m,ITB-,–,0.1778,0.1097,0.2875,"{'I-130': 0.84, 'Xe-130': 0.16}"
53,Iodine,I-131,8.02070 d,B-,–,0.1918,0.3828,0.5746,"{'Xe-131m': 0.011759, 'Xe-131': 0.98824}"
53,Iodine,I-132,2.295 h,B-,–,0.493,2.2645,2.7575,{'Xe-132': 1.0}
53,Iodine,I-132m,1.387 h,ITB-,–,0.1614,0.3403,0.5018,"{'I-132': 0.86, 'Xe-132': 0.14}"
53,Iodine,I-133,20.8 h,B-,–,0.4142,0.612,1.0262,"{'Xe-133': 0.97115, 'Xe-133m': 0.028846}"
53,Iodine,I-134,52.5 m,B-,–,0.5776,2.5953,3.1729,{'Xe-134': 1.0}
53,Iodine,I-134m,3.60 m,ITB-,–,0.0913,0.2887,0.38,"{'I-134': 0.977, 'Xe-134': 0.023}"
53,Iodine,I-135,6.57 h,B-,–,0.3465,1.5815,1.928,"{'Xe-135': 0.83432, 'Xe-135m': 0.16568}"
54,Xenon,Xe-120,40 m,ECB+,–,0.0461,0.4015,0.4476,{'I-120': 1.0}
54,Xenon,Xe-121,40.1 m,ECB+,–,0.5819,1.472,2.0539,{'I-121': 1.0}
54,Xenon,Xe-122,20.1 h,EC,–,0.01,0.0684,0.0784,{'I-122': 1.0}
54,Xenon,Xe-123,2.08 h,ECB+,–,0.1875,0.6411,0.8286,{'I-123': 1.0}
54,Xenon,Xe-125,16.9 h,ECB+,–,0.035,0.2723,0.3074,{'I-125': 1.0}
54,Xenon,Xe-127,36.4 d,EC,–,0.0325,0.2806,0.3131,{'I-127': 1.0}
54,Xenon,Xe-127m,69.2 s,IT,–,0.1293,0.1685,0.2978,{'Xe-127': 1.0}
54,Xenon,Xe-129m,8.88 d,IT,–,0.1844,0.0517,0.2362,{'Xe-129': 1.0}
54,Xenon,Xe-131m,11.84 d,IT,–,0.147,0.0206,0.1676,{'Xe-131': 1.0}
54,Xenon,Xe-133,5.243 d,B-,–,0.1379,0.0474,0.1854,{'Cs-133': 1.0}
54,Xenon,Xe-133m,2.19 d,IT,–,0.1924,0.041,0.2333,{'Xe-133': 1.0}
54,Xenon,Xe-135,9.14 h,B-,–,0.3208,0.2483,0.5691,{'Cs-135': 1.0}
54,Xenon,Xe-135m,15.29 m,ITB-,–,0.1008,0.4249,0.5257,"{'Xe-135': 0.994, 'Cs-135': 0.006}"
54,Xenon,Xe-137,3.818 m,B-,–,1.6952,0.1908,1.8859,{'Cs-137': 1.0}
54,Xenon,Xe-138,14.08 m,B-,–,0.6596,1.1222,1.7818,{'Cs-138': 1.0}
55,Caesium,Cs-121,155 s,ECB+,–,1.7391,1.1733,2.9123,{'Xe-121': 1.0}
55,Caesium,Cs-121m,122 s,ECB+IT,–,1.3475,1.1821,2.5296,"{'Xe-121': 0.83, 'Cs-121': 0.17}"
55,Caesium,Cs-123,5.88 m,ECB+,–,0.9509,1.086,2.0369,{'Xe-123': 1.0}
55,Caesium,Cs-124,30.8 s,ECB+,–,1.9908,1.1607,3.1515,{'Xe-124': 1.0}
55,Caesium,Cs-125,45 m,ECB+,–,0.3524,0.755,1.1075,{'Xe-125': 1.0}
55,Caesium,Cs-126,1.64 m,ECB+,–,1.3193,1.1545,2.4738,{'Xe-126': 1.0}
55,Caesium,Cs-127,6.25 h,ECB+,–,0.0293,0.4334,0.4627,{'Xe-127': 1.0}
55,Caesium,Cs-128,3.640 m,ECB+,–,0.8735,0.8917,1.7651,{'Xe-128': 1.0}
55,Caesium,Cs-129,32.06 h,ECB+,–,0.0175,0.2802,0.2977,{'Xe-129': 1.0}
55,Caesium,Cs-130,29.21 m,ECB+B-,–,0.3869,0.5026,0.8894,"{'Xe-130': 0.984, 'Ba-130': 0.016}"
55,Caesium,Cs-130m,3.46 m,ITEC,–,0.0937,0.0737,0.1674,"{'Cs-130': 0.9984, 'Xe-130': 0.0016}"
55,Caesium,Cs-131,9.689 d,EC,–,0.0064,0.0232,0.0295,{'Xe-131': 1.0}
55,Caesium,Cs-132,6.479 d,ECB+B-,–,0.0143,0.7151,0.7294,"{'Xe-132': 0.9813, 'Ba-132': 0.0187}"
55,Caesium,Cs-134,2.0648 y,B-EC,–,0.1639,1.5551,1.719,"{'Ba-134': 1.0, 'Xe-134': 3e-06}"
55,Caesium,Cs-134m,2.903 h,IT,–,0.1122,0.0273,0.1394,{'Cs-134': 1.0}
55,Caesium,Cs-135,2.3E+6 y,B-,–,0.0894,–,0.0894,{'Ba-135': 1.0}
55,Caesium,Cs-135m,53 m,IT,–,0.0361,1.5972,1.6333,{'Cs-135': 1.0}
55,Caesium,Cs-136,13.16 d,B-,–,0.1449,2.1283,2.2732,{'Ba-136': 1.0}
55,Caesium,Cs-137,30.1671 y,B-,–,0.1884,<E-04,0.1884,"{'Ba-137m': 0.94399, 'Ba-137': 0.056005}"
55,Caesium,Cs-138,33.41 m,B-,–,1.2462,2.3611,3.6073,{'Ba-138': 1.0}
55,Caesium,Cs-138m,2.91 m,ITB-,–,0.3201,0.4149,0.735,"{'Cs-138': 0.81, 'Ba-138': 0.19}"
55,Caesium,Cs-139,9.27 m,B-,–,1.6598,0.303,1.9629,{'Ba-139': 1.0}
55,Caesium,Cs-140,63.7 s,B-,–,1.9361,1.7692,3.7054,{'Ba-140': 1.0}
56,Barium,Ba-124,11.0 m,ECB+,–,0.1743,0.5728,0.7471,{'Cs-124': 1.0}
56,Barium,Ba-126,100 m,ECB+,–,0.0178,0.5803,0.5981,{'Cs-126': 1.0}
56,Barium,Ba-127,12.7 m,ECB+,–,0.5971,0.7282,1.3253,{'Cs-127': 1.0}
56,Barium,Ba-128,2.43 d,EC,–,0.0086,0.0665,0.0751,{'Cs-128': 1.0}
56,Barium,Ba-129,2.23 h,ECB+,–,0.127,0.3331,0.4601,{'Cs-129': 1.0}
56,Barium,Ba-129m,2.16 h,ECB+,–,0.0419,1.5833,1.6252,{'Cs-129': 1.0}
56,Barium,Ba-131,11.50 d,EC,–,0.0455,0.4763,0.5219,{'Cs-131': 1.0}
56,Barium,Ba-131m,14.6 m,IT,–,0.1102,0.0773,0.1875,{'Ba-131': 1.0}
56,Barium,Ba-133,10.52 y,EC,–,0.0553,0.403,0.4583,{'Cs-133': 1.0}
56,Barium,Ba-133m,38.9 h,ITEC,–,0.2259,0.0686,0.2945,"{'Ba-133': 0.9999, 'Cs-133': 9.6e-05}"
56,Barium,Ba-135m,28.7 h,IT,–,0.208,0.0602,0.2682,{'Ba-135': 1.0}
56,Barium,Ba-137m,2.552 m,IT,–,0.0653,0.5963,0.6617,{'Ba-137': 1.0}
56,Barium,Ba-139,83.06 m,B-,–,0.9012,0.0457,0.947,{'La-139': 1.0}
56,Barium,Ba-140,12.752 d,B-,–,0.3202,0.1826,0.5029,{'La-140': 1.0}
56,Barium,Ba-141,18.27 m,B-,–,0.9624,0.9271,1.8895,{'La-141': 1.0}
56,Barium,Ba-142,10.6 m,B-,–,0.4141,1.0469,1.461,{'La-142': 1.0}
57,Lanthanum,La-128,5.18 m,ECB+,–,1.334,2.8283,4.1623,{'Ba-128': 1.0}
57,Lanthanum,La-129,11.6 m,ECB+,–,0.6135,0.9212,1.5347,"{'Ba-129': 0.92384, 'Ba-129m': 0.076164}"
57,Lanthanum,La-130,8.7 m,ECB+,–,1.1113,2.2324,3.3438,{'Ba-130': 1.0}
57,Lanthanum,La-131,59 m,ECB+,–,0.1963,0.6633,0.8596,{'Ba-131': 1.0}
57,Lanthanum,La-132,4.8 h,ECB+,–,0.5693,1.9952,2.5645,{'Ba-132': 1.0}
57,Lanthanum,La-132m,24.3 m,ITECB+,–,0.1126,0.6706,0.7832,"{'La-132': 0.76, 'Ba-132': 0.24}"
57,Lanthanum,La-133,3.912 h,ECB+,–,0.0503,0.1605,0.2108,{'Ba-133': 1.0}
57,Lanthanum,La-134,6.45 m,ECB+,–,0.7647,0.7196,1.4844,{'Ba-134': 1.0}
57,Lanthanum,La-135,19.5 h,ECB+,–,0.0067,0.0361,0.0428,{'Ba-135': 1.0}
57,Lanthanum,La-136,9.87 m,ECB+,–,0.2941,0.407,0.7011,{'Ba-136': 1.0}
57,Lanthanum,La-137,6.0E+4 y,EC,–,0.0065,0.025,0.0315,{'Ba-137': 1.0}
57,Lanthanum,La-138,1.02E+11 y,ECB-,–,0.0377,1.2316,1.2693,"{'Ba-138': 0.664, 'Ce-138': 0.336}"
57,Lanthanum,La-140,1.6781 d,B-,–,0.5346,2.3084,2.8429,{'Ce-140': 1.0}
57,Lanthanum,La-141,3.92 h,B-,–,0.9876,0.0268,1.0144,{'Ce-141': 1.0}
57,Lanthanum,La-142,91.1 m,B-,–,0.8697,2.3738,3.2435,{'Ce-142': 1.0}
57,Lanthanum,La-143,14.2 m,B-,–,1.2995,0.2631,1.5625,{'Ce-143': 1.0}
58,Cerium,Ce-130,22.9 m,ECB+,–,0.0738,0.5003,0.5741,{'La-130': 1.0}
58,Cerium,Ce-131,10.2 m,ECB+,–,0.6153,1.6267,2.242,{'La-131': 1.0}
58,Cerium,Ce-132,3.51 h,EC,–,0.018,0.2727,0.2908,{'La-132': 1.0}
58,Cerium,Ce-133,97 m,ECB+,–,0.3817,0.543,0.9247,{'La-133': 1.0}
58,Cerium,Ce-133m,4.9 h,ECB+,–,0.0739,1.7373,1.8112,{'La-133': 1.0}
58,Cerium,Ce-134,3.16 d,EC,–,0.0072,0.0281,0.0353,{'La-134': 1.0}
58,Cerium,Ce-135,17.7 h,ECB+,–,0.0296,0.8237,0.8533,{'La-135': 1.0}
58,Cerium,Ce-137,9.0 h,ECB+,–,0.0165,0.0388,0.0553,{'La-137': 1.0}
58,Cerium,Ce-137m,34.4 h,ITEC,–,0.2067,0.0558,0.2625,"{'Ce-137': 0.9922, 'La-137': 0.0078}"
58,Cerium,Ce-139,137.641 d,EC,–,0.0355,0.1599,0.1954,{'La-139': 1.0}
58,Cerium,Ce-141,32.508 d,B-,–,0.171,0.0768,0.2478,{'Pr-141': 1.0}
58,Cerium,Ce-143,33.039 h,B-,–,0.4364,0.2796,0.7159,{'Pr-143': 1.0}
58,Cerium,Ce-144,284.91 d,B-,–,0.0916,0.0194,0.111,"{'Pr-144': 0.99023, 'Pr-144m': 0.0097699}"
58,Cerium,Ce-145,3.01 m,B-,–,0.6794,0.8142,1.4937,{'Pr-145': 1.0}
59,Praseodymium,Pr-134,11 m,ECB+,–,1.0801,3.1504,4.2305,{'Ce-134': 1.0}
59,Praseodymium,Pr-134m,17 m,ECB+,–,1.5274,2.3101,3.8375,{'Ce-134': 1.0}
59,Praseodymium,Pr-135,24 m,ECB+,–,0.5793,0.8741,1.4534,{'Ce-135': 1.0}
59,Praseodymium,Pr-136,13.1 m,ECB+,–,0.7545,2.1458,2.9003,{'Ce-136': 1.0}
59,Praseodymium,Pr-137,1.28 h,ECB+,–,0.1947,0.3693,0.564,{'Ce-137': 1.0}
59,Praseodymium,Pr-138,1.45 m,ECB+,–,1.1617,0.8153,1.977,{'Ce-138': 1.0}
59,Praseodymium,Pr-138m,2.12 h,ECB+,–,0.2208,2.4776,2.6984,{'Ce-138': 1.0}
59,Praseodymium,Pr-139,4.41 h,ECB+,–,0.0478,0.1298,0.1777,{'Ce-139': 1.0}
59,Praseodymium,Pr-140,3.39 m,ECB+,–,0.5516,0.5467,1.0983,{'Ce-140': 1.0}
