43,P-32,F,1.0E+00,1.18E-08,7.51E-09,3.24E-09,1.82E-09,9.87E-10,7.78E-10,1.02E-09
44,P-32,M,1.0E+00,2.14E-08,1.53E-08,8.02E-09,5.30E-09,4.05E-09,3.38E-09,3.83E-09
45,P-32,S,1.0E+00,2.33E-08,1.68E-08,8.97E-09,5.99E-09,4.64E-09,3.89E-09,4.38E-09
46,P-33,F,1.0E+00,1.16E-09,7.82E-10,3.04E-10,2.02E-10,1.11E-10,9.26E-11,1.16E-10
47,P-33,M,1.0E+00,5.99E-09,4.56E-09,2.78E-09,2.05E-09,1.90E-09,1.50E-09,1.64E-09
48,P-33,S,1.0E+00,7.05E-09,5.40E-09,3.31E-09,2.45E-09,2.28E-09,1.80E-09,1.96E-09
49,S-35,F,1.0E+00,5.42E-10,3.94E-10,1.76E-10,1.09E-10,6.01E-11,5.14E-11,6.35E-11
50,S-35,M,2.0E-01,5.85E-09,4.48E-09,2.74E-09,1.97E-09,1.78E-09,1.43E-09,1.56E-09
51,S-35,S,2.0E-02,7.62E-09,5.88E-09,3.60E-09,2.57E-09,2.31E-09,1.86E-09,2.04E-09
52,S-35,V(e),1.0E+00,9.38E-10,6.60E-10,3.42E-10,2.09E-10,1.28E-10,1.09E-10,1.30E-10
53,S-35,V(f),1.0E+00,6.89E-09,4.77E-09,2.41E-09,1.44E-09,8.54E-10,6.99E-10,8.58E-10
54,S-38,F,1.0E+00,1.13E-09,9.05E-10,4.40E-10,2.79E-10,1.66E-10,1.35E-10,1.65E-10
55,S-38,M,2.0E-01,2.57E-09,1.80E-09,8.50E-10,5.40E-10,3.33E-10,2.76E-10,3.33E-10
56,S-38,S,2.0E-02,2.79E-09,1.91E-09,8.99E-10,5.72E-10,3.53E-10,2.92E-10,3.53E-10
57,S-38,V(e),1.0E+00,1.35E-09,9.94E-10,5.80E-10,3.38E-10,2.37E-10,1.89E-10,2.23E-10
58,S-38,V(f),1.0E+00,1.40E-09,1.02E-09,5.47E-10,3.36E-10,2.19E-10,1.80E-10,2.13E-10
59,Cl-34m,F,1.0E+00,2.87E-10,1.94E-10,8.94E-11,5.46E-11,3.24E-11,2.68E-11,3.30E-11
60,Cl-34m,M,1.0E+00,4.34E-10,2.88E-10,1.34E-10,8.37E-11,5.28E-11,4.39E-11,5.28E-11
61,Cl-34m,S,1.0E+00,4.50E-10,2.99E-10,1.39E-10,8.68E-11,5.50E-11,4.58E-11,5.50E-11
62,Cl-36,F,1.0E+00,3.90E-09,2.60E-09,1.15E-09,7.05E-10,3.91E-10,3.31E-10,4.12E-10
63,Cl-36,M,1.0E+00,3.11E-08,2.55E-08,1.51E-08,1.04E-08,8.69E-09,7.31E-09,8.05E-09
64,Cl-36,S,1.0E+00,1.03E-07,9.69E-08,6.54E-08,4.46E-08,3.92E-08,3.79E-08,3.99E-08
65,Cl-38,F,1.0E+00,2.97E-10,1.90E-10,8.47E-11,5.16E-11,3.03E-11,2.54E-11,3.13E-11
66,Cl-38,M,1.0E+00,4.71E-10,3.00E-10,1.36E-10,8.50E-11,5.39E-11,4.53E-11,5.44E-11
67,Cl-38,S,1.0E+00,4.90E-10,3.12E-10,1.42E-10,8.87E-11,5.65E-11,4.75E-11,5.70E-11
68,Cl-39,F,1.0E+00,2.69E-10,1.83E-10,8.47E-11,5.17E-11,3.07E-11,2.55E-11,3.13E-11
69,Cl-39,M,1.0E+00,4.26E-10,2.86E-10,1.35E-10,8.55E-11,5.61E-11,4.64E-11,5.53E-11
70,Cl-39,S,1.0E+00,4.44E-10,2.97E-10,1.41E-10,8.92E-11,5.89E-11,4.87E-11,5.79E-11
71,K-40,F,1.0E+00,2.37E-08,1.66E-08,7.39E-09,4.46E-09,2.44E-09,2.07E-09,2.58E-09
72,K-40,M,1.0E+00,6.98E-08,5.65E-08,3.18E-08,2.08E-08,1.57E-08,1.39E-08,1.55E-08
73,K-40,S,1.0E+00,2.25E-07,2.12E-07,1.43E-07,9.80E-08,8.56E-08,8.46E-08,8.87E-08
74,K-42,F,1.0E+00,1.58E-09,1.01E-09,4.44E-10,2.68E-10,1.48E-10,1.25E-10,1.57E-10
75,K-42,M,1.0E+00,2.71E-09,1.83E-09,8.30E-10,5.41E-10,3.86E-10,3.30E-10,3.82E-10
76,K-42,S,1.0E+00,2.60E-09,1.75E-09,8.82E-10,5.77E-10,4.16E-10,3.56E-10,4.08E-10
77,K-43,F,1.0E+00,1.29E-09,9.64E-10,4.70E-10,2.88E-10,1.68E-10,1.40E-10,1.71E-10
78,K-43,M,1.0E+00,2.13E-09,1.59E-09,8.58E-10,5.79E-10,4.39E-10,3.54E-10,4.05E-10
79,K-43,S,1.0E+00,2.22E-09,1.67E-09,9.03E-10,6.13E-10,4.71E-10,3.79E-10,4.32E-10
80,K-44,F,1.0E+00,2.18E-10,1.45E-10,6.64E-11,4.07E-11,2.43E-11,2.03E-11,2.48E-11
81,K-44,M,1.0E+00,3.22E-10,2.12E-10,9.75E-11,6.08E-11,3.81E-11,3.19E-11,3.84E-11
82,K-44,S,1.0E+00,3.34E-10,2.19E-10,1.01E-10,6.31E-11,3.97E-11,3.32E-11,3.99E-11
83,K-45,F,1.0E+00,1.40E-10,9.45E-11,4.34E-11,2.69E-11,1.63E-11,1.37E-11,1.66E-11
84,K-45,M,1.0E+00,2.03E-10,1.36E-10,6.28E-11,3.97E-11,2.52E-11,2.11E-11,2.53E-11
