,INDEX,Nuclide,Half-life,Type,f1,e (Sv/Bq),≥1 year,1 year,5 years,10 years,15 years,Adult, CHEMICAL_FORM
41,I-120,81.0 m,V,1.0,2.3E-09,1.0,1.9E-09,1.0E-09,4.8E-10,3.1E-10,2.0E-10,CH3I
42,I-120,81.0 m,V,1.0,3.0E-09,1.0,2.4E-09,1.3E-09,6.4E-10,4.3E-10,3.0E-10,I2
43,I-120m,53 m,V,1.0,1.0E-09,1.0,8.7E-10,4.6E-10,2.2E-10,1.5E-10,1.0E-10,CH3I
44,I-120m,53 m,V,1.0,1.5E-09,1.0,1.2E-09,6.4E-10,3.4E-10,2.3E-10,1.8E-10,I2
45,I-121,2.12 h,V,1.0,4.2E-10,1.0,3.8E-10,2.2E-10,1.2E-10,8.3E-11,5.6E-11,CH3I
46,I-121,2.12 h,V,1.0,5.7E-10,1.0,5.1E-10,3.0E-10,1.7E-10,1.2E-10,8.6E-11,I2
47,I-123,13.2 h,V,1.0,1.6E-09,1.0,1.4E-09,7.7E-10,3.6E-10,2.4E-10,1.5E-10,CH3I
48,I-123,13.2 h,V,1.0,2.1E-09,1.0,1.8E-09,1.0E-09,4.7E-10,3.2E-10,2.1E-10,I2
49,I-124,4.18 d,V,1.0,8.5E-08,1.0,8.0E-08,4.5E-08,2.2E-08,1.4E-08,9.2E-09,CH3I
50,I-124,4.18 d,V,1.0, 1.1E-07,1.0,1.0E-07,5.8E-08,2.8E-08,1.8E-08,1.2E-08,I2
51,I-125,60.14 d,V,1.0,3.7e-08,1.0,4e-08,2.9e-08,2.2e-08,1.6e-08,1.1e-08,CH3I
52,I-125,60.14 d,V,1.0,4.7e-08,1.0,5.2e-08,3.7e-08,2.8e-08,2e-08,1.4e-08,I2
53,I-126,13.02 d,V,1.0,1.5e-07,1.0,1.5e-07,9e-08,4.8e-08,3.2e-08,2e-08,CH3I
54,I-126,13.02 d,V,1.0,1.9e-07,1.0,1.9e-07,1.1e-07,6.2e-08,4.1e-08,2.6e-08,I2
55,I-128,24.99 m,V,1.0,1.5e-10,1.0,1.2e-10,6.3e-11,3e-11,1.9e-11,1.3e-11,CH3I
